Name,Discount,New Price,Old Price,Positive Reviews,Number of Reviews
Bus Driver Simulator - Hungarian Legend,75,1.99,7.99,89.0,39.0
Arkham Horror: Mother's Embrace,20,57.59,71.99,,
Sakura Succubus 3,35,23.39,35.99,91.0,60.0
Unity of Command II + DLC + Soundtrack,46,97.17,179.97,81.0,853.0
Dogfight 1942 Fire Over Africa,65,3.84,10.99,,
Dogfight 1942 Russia Under Siege,65,3.84,10.99,100.0,10.0
The Warriorlock,90,3.59,35.99,75.0,16.0
BioShock™ 2 Remastered,67,28.34,85.9,63.0,9763.0
Super Trench Attack!,90,1.79,17.99,91.0,1046.0
Sakura Succubus,55,16.19,35.99,80.0,208.0
Europa Universalis IV: Muslim Ships Unit Pack,50,3.59,7.19,,
Europa Universalis IV: Muslim Advisor Portraits,50,3.59,7.19,52.0,34.0
Europa Universalis IV: National Monuments II,50,3.59,7.19,32.0,56.0
Europa Universalis IV: Trade Nations Unit Pack,50,3.59,7.19,65.0,20.0
Starpoint Gemini 3,55,53.99,119.99,56.0,486.0
Europa Universalis IV: Native Americans II Unit Pack,50,3.59,7.19,53.0,13.0
Little Big Workshop - The Evil DLC,20,31.99,39.99,50.0,24.0
Road Redemption,65,25.19,71.99,81.0,7170.0
Hacknet,80,7.19,35.99,93.0,10887.0
Europa Universalis IV: Wealth of Nations Content Pack,57,6.24,14.38,62.0,29.0
😋 Russian Flex Pack 😋,63,2.68,7.18,91.0,3651.0
City of Brass,90,7.19,71.99,80.0,517.0
Escape Room Bundle,36,45.99,71.98,91.0,118.0
Just Hero,50,1.79,3.59,62.0,67.0
Aven Colony - Cerulean Vale,75,2.74,10.99,58.0,17.0
Lumberjack's Dynasty - Digital Supporter Edition,17,76.16,91.98,72.0,1064.0
Valfaris,50,44.99,89.99,91.0,797.0
Hiveswap Friendsim,50,1.79,3.59,94.0,988.0
Foodie Bear,75,1.79,7.19,,
Tales of the Neon Sea,65,21.34,60.99,82.0,1067.0
Flatland: Prologue,50,1.79,3.59,,
The Protagonist: EX-1,10,42.29,46.99,,
Aground,25,40.49,53.99,95.0,784.0
A-Tech Cybernetic VR Tylko VR,80,14.39,71.99,70.0,422.0
Sakura Succubus 2,50,17.99,35.99,89.0,109.0
Path of Sin: Greed,70,10.79,35.99,84.0,66.0
Europa Universalis IV: El Dorado Collection,55,34.18,75.98,69.0,356.0
Chronology,90,1.79,17.99,90.0,264.0
Call to Arms - Deluxe Edition upgrade,75,13.49,53.99,77.0,75.0
Knights of Pen and Paper 2,75,7.24,28.99,88.0,1633.0
Minicraft Shooter,40,2.15,3.59,,
Cultures - Northland,90,1.79,17.99,81.0,352.0
Vindictive Drive,80,2.19,10.99,81.0,11.0
30 days to survive,90,2.19,21.99,86.0,76.0
Sanator: Scarlet Scarf,60,14.39,35.99,89.0,199.0
Alice's Patchworks 2,90,1.79,17.99,79.0,79.0
Energy Cycle,80,2.19,10.99,78.0,50.0
Dying Light - Gun Psycho Bundle,33,6.69,9.99,86.0,134.0
Survivalist: Invisible Strain,20,20.39,25.49,89.0,1287.0
The Quest,50,17.99,35.99,86.0,350.0
Dying Light - Godfather Bundle,33,7.36,10.99,77.0,59.0
Charlie Collection,46,56.53,105.47,73.0,19.0
Yooka-Laylee and the Impossible Lair,60,43.19,107.99,91.0,377.0
Skullgirls 2nd Encore,60,36.0,89.99,95.0,14123.0
Retro Snake,75,1.79,7.19,50.0,16.0
rooMaze,75,1.79,7.19,66.0,117.0
SACRALITH : The Archer`s Tale Tylko VR,50,35.99,71.99,86.0,200.0
RunGunJumpGun - Soundtrack/Special Edition Upgrade,75,1.79,7.19,,
Civil War: Battle of Petersburg,50,1.79,3.59,74.0,82.0
Alcatraz Builder,90,1.79,17.99,,
Salvage Op Tylko VR,50,1.79,3.59,,
FortressCraft Evolved: Frozen Factory Expansion,75,13.49,53.99,84.0,46.0
Constricting Cubes Obsługa VR,50,1.79,3.59,,
2D Neon Cube,87,1.88,14.49,67.0,64.0
She Sees Red - Interactive Movie,70,8.69,28.97,79.0,1775.0
Entry Team Bundle,27,92.14,125.98,94.0,6835.0
Bus Driver Simulator - Soviet Legend,75,1.99,7.99,100.0,14.0
Bus Driver Simulator - Old Legend,75,1.99,7.99,,
Figment,90,7.19,71.99,86.0,397.0
Rogue Empire: Dungeon Crawler RPG,20,43.19,53.99,85.0,240.0
Endless Fables 2: Frozen Path,70,10.79,35.99,91.0,73.0
School Owner,67,23.75,71.99,30.0,43.0
BioShock Infinite - Season Pass,50,42.95,85.9,91.0,534.0
BioShock 2: Minerva's Den Remastered,67,14.15,42.9,88.0,349.0
3D Hardcore Cube,83,1.86,10.99,54.0,81.0
Dying Light - The Bozak Horde,33,20.09,29.99,54.0,904.0
Gothic Girls Soundtrack,75,1.79,7.19,,
Good puzzle,75,1.79,7.19,100.0,10.0
BOOKS,50,1.79,3.59,65.0,95.0
"Hamlet or the Last Game without MMORPG Features, Shaders ...",90,1.79,17.99,66.0,270.0
Dying Light - White Death Bundle,33,6.69,9.99,67.0,56.0
Lumberjack's Dynasty - Digital Supporter Pack,10,19.79,21.99,,
Lovely Fox,50,1.79,3.59,76.0,26.0
Ballex,25,10.86,14.49,91.0,271.0
Niche - a genetics survival game,50,32.49,64.99,89.0,3179.0
Space Pirates And Zombies 2 Obsługa VR,50,35.99,71.99,79.0,2464.0
The Quest Deluxe Edition,56,29.95,68.67,87.0,361.0
CINERIS SOMNIA,70,16.19,53.99,84.0,108.0
Biker Garage: Mechanic Simulator,65,31.49,89.99,72.0,301.0
Desktop Kanojo,30,7.69,10.99,89.0,932.0
1979 Revolution: Black Friday,65,12.59,35.99,76.0,895.0
Press X to Not Die - Special Edition Content,50,1.79,3.59,78.0,78.0
Pinball FX3 - Marvel Pinball: Heavy Hitters,50,17.99,35.99,,
FortressCraft Evolved: Adventures Pack,70,16.19,53.99,,
Momodora: Reverie Under The Moonlight,60,14.39,35.99,94.0,7262.0
Lucy Got Problems EXTRA,44,20.64,36.98,91.0,498.0
Room to Grow,20,28.79,35.99,100.0,26.0
Aery - A Journey Beyond Time,20,28.79,35.99,100.0,34.0
Croixleur Sigma - Deluxe Edition,60,28.79,71.99,79.0,69.0
Yooka-Laylee,80,28.59,142.99,79.0,2047.0
TSIOQUE,45,27.49,49.99,96.0,478.0
NECROPOLIS: BRUTAL EDITION,75,26.99,107.99,64.0,3529.0
Yooka-Laylee: Buddy Duo Bundle,76,61.01,250.98,81.0,2424.0
Immortal Planet,50,26.99,53.99,86.0,150.0
Sheltered,75,13.49,53.99,80.0,4241.0
1bitHeart,50,5.49,10.99,92.0,523.0
Pesterquest,40,26.39,43.99,94.0,854.0
Rise of Insanity Obsługa VR,71,8.69,29.99,78.0,622.0
Mad Father,20,28.79,35.99,96.0,2362.0
Splody,50,12.74,25.49,92.0,67.0
Dragon Cliff,66,12.23,35.99,89.0,4461.0
Tested on Humans: Escape Room,25,26.99,35.99,96.0,30.0
One Finger Death Punch,80,3.59,17.99,98.0,11979.0
Starpoint Gemini 2,80,24.99,124.99,70.0,2884.0
Jagged Alliance Collector's Bundle,75,29.99,119.99,68.0,908.0
ElectricVLab,25,32.99,43.99,86.0,37.0
Sakura Knight 3,50,17.99,35.99,85.0,20.0
Monster Slayers,75,8.24,32.99,80.0,631.0
The SPAZ Collection,55,48.58,107.98,84.0,4398.0
Grim Legends 2: Song of the Dark Swan,70,10.79,35.99,97.0,583.0
Dogfight 1942 Complete Pack,82,10.26,57.97,77.0,419.0
Phantasmagoria,35,27.57,42.43,87.0,102.0
Niko: Through The Dream,70,10.79,35.99,77.0,123.0
Nightmares from the Deep: The Cursed Heart,70,10.79,35.99,90.0,704.0
Domino Simulator 2020,40,21.59,35.99,84.0,39.0
Sakura Fantasy,80,7.19,35.99,90.0,703.0
Let's Journey,30,27.99,39.99,92.0,13.0
Sakura Fox Adventure,75,8.99,35.99,87.0,66.0
Hearts of Iron 2 Complete,75,13.49,53.99,83.0,344.0
Angels of Death Episode.Eddie,20,20.39,25.49,91.0,179.0
MX vs. ATV Unleashed,75,9.99,39.99,70.0,326.0
The Stronghold Collection,70,25.49,84.99,87.0,2185.0
Death Park 2,15,18.69,21.99,85.0,20.0
Over the Dream,85,2.17,14.49,92.0,1592.0
Astebreed: Definitive Edition,75,17.99,71.99,88.0,1044.0
Cattails Original Soundtrack & Deluxe Content,75,12.74,50.99,,
PLANET ALPHA,75,17.99,71.99,79.0,362.0
Hakoniwa Explorer Plus,50,17.99,35.99,85.0,328.0
Ghost Files 2: Memory of a Crime,70,10.79,35.99,74.0,47.0
Sakura Knight 2,65,12.59,35.99,83.0,24.0
Horror Squad,15,15.29,17.99,63.0,73.0
StrikeForce Kitty,80,5.79,28.99,86.0,188.0
Team17 Sci-Fi Strategy Pack,39,208.76,341.96,73.0,3080.0
Retro Classix: Heavy Barrel,33,17.07,25.49,,
Retro Classix: Bad Dudes,33,17.07,25.49,,
Charlie II - Expansion Pack,33,24.11,35.99,,
Hacknet - Complete Edition,67,20.23,61.48,93.0,11391.0
Sword Legacy: Omen,75,16.24,64.99,73.0,259.0
Morph Space,10,16.19,17.99,,
Killing Room,50,14.99,29.99,71.0,997.0
MX vs. ATV Reflex,75,14.99,59.99,84.0,1801.0
Microcosmum: survival of cells,50,14.49,28.99,80.0,859.0
Homefront: The Revolution - Beyond the Walls,80,9.39,46.99,81.0,110.0
Jigsaw Puzzle Pack - Pixel Puzzles Ultimate: Variety Pack 11,64,15.83,43.99,,
ColdSide,50,14.49,28.99,79.0,168.0
Dwarf Shop,50,17.99,35.99,69.0,56.0
The Stillness of the Wind,70,14.09,46.99,79.0,443.0
Soviet Theory + Zen Practice Chess Bundle,16,18.08,21.54,90.0,326.0
Unity of Command II Soundtrack,50,17.99,35.99,,
Headsnatchers,75,13.49,53.99,72.0,80.0
LiEat,60,4.39,10.99,97.0,3054.0
Jagged Alliance Flashback,75,14.99,59.99,34.0,390.0
Alicemare,60,4.39,10.99,88.0,661.0
Monster Slayers - Fire and Steel Expansion,75,4.49,17.99,68.0,16.0
Unity of Command Trilogy Bundle,67,17.81,53.99,79.0,691.0
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,30,2.51,3.59,95.0,6767.0
HALF DEAD 2,30,12.59,17.99,85.0,1542.0
RootLetter - Deluxe Pack,83,15.7,89.98,81.0,382.0
Phantasmagoria 2: A Puzzle of Flesh,35,16.53,25.44,87.0,58.0
Zen Chess Series,25,16.07,21.54,85.0,255.0
FortressCraft Evolved Dapper Indie Supporter's Pack,75,4.49,17.99,95.0,20.0
Despotism 3k,60,11.59,28.99,85.0,536.0
Content Pack - Europa Universalis IV: Mandate of Heaven,50,14.49,28.99,50.0,32.0
Battle Worlds: Kronos,75,14.99,59.99,65.0,204.0
Jagged Alliance - Back in Action,75,14.99,59.99,69.0,743.0
Misao: Definitive Edition,30,12.59,17.99,97.0,815.0
Avencast: Rise of the Mage,90,3.59,35.99,74.0,209.0
One Way Heroics + Plus Edition,73,9.85,36.48,94.0,3324.0
AEON BLOOD,65,12.59,35.99,40.0,10.0
FortressCraft Evolved: Skin Pack #2,80,5.79,28.99,,
RIDE - 2015 Top Bikes Pack 2,75,5.49,21.99,70.0,10.0
Clocker 铸时匠,75,10.99,43.99,89.0,95.0
Card Hog,25,10.86,14.49,99.0,209.0
FortressCraft Evolved: Skin Pack #1,80,5.79,28.99,,
Mitsurugi Kamui Hikae,70,10.79,35.99,81.0,2492.0
The Ankh Pack,80,13.49,67.49,58.0,68.0
Combat Wings,70,5.39,17.99,83.0,30.0
Reverse Crawl,75,5.49,21.99,88.0,313.0
One Way Heroics Plus,70,7.12,23.74,98.0,120.0
Dark Deception Chapter 2,50,12.21,24.42,91.0,183.0
Dark Deception Chapter 3,50,12.21,24.42,91.0,112.0
RIDE - 2015 Top Bikes Pack 1,75,5.49,21.99,54.0,11.0
Left Alone,80,5.09,25.49,74.0,413.0
StarsOne,66,12.23,35.99,76.0,441.0
Portal of Evil Bundle,67,11.86,35.98,90.0,218.0
Lucy Got Problems - Artbook and Wallpapers (Silver Edition),10,7.19,7.99,80.0,10.0
Dying Light - Crash Test Skin Bundle,33,4.01,5.99,83.0,154.0
Stigmatized Property | 事故物件,10,9.89,10.99,82.0,451.0
Plantera,55,4.94,10.99,87.0,3526.0
Investigator,50,8.99,17.99,72.0,711.0
Sakura Cupid,75,8.99,35.99,90.0,175.0
Sakura Gamer 2,70,10.79,35.99,92.0,50.0
Post Void,20,8.79,10.99,98.0,3227.0
EXIT,66,8.66,25.49,90.0,11.0
Twin-stick hell games pack,90,10.72,112.46,,
Star Sky,80,2.89,14.49,80.0,178.0
City of Brass + Soundtrack,88,10.78,89.98,79.0,521.0
Demon Hunter 4: Riddles of Light,70,10.79,35.99,55.0,49.0
Lost Grimoires 3: The Forgotten Well,70,10.79,35.99,82.0,51.0
FreakOut: Extreme Freeride,80,7.99,39.99,76.0,42.0
Britannic,30,7.69,10.99,77.0,68.0
Milk inside a bag of milk inside a bag of milk,30,2.51,3.59,97.0,1037.0
HALF DEAD COMPLETE BUNDLE,37,15.66,24.98,80.0,4078.0
Vertical Strike Endless Challenge,60,7.19,17.99,77.0,153.0
Think of the Children,80,7.19,35.99,65.0,70.0
Jigsaw Puzzle Pack - Pixel Puzzles Ultimate: Cheregi,75,8.24,32.99,,
Jagged Alliance 1: Gold Edition,75,9.99,39.99,92.0,103.0
Inner Voices,70,10.49,34.99,50.0,36.0
Rosenkreuzstilette,80,7.19,35.99,78.0,264.0
Delete,30,5.03,7.19,96.0,777.0
Streamer's Life,50,10.0,20.0,74.0,115.0
Sakura Santa,75,8.99,35.99,89.0,401.0
Nightmares from the Deep Collection,36,68.7,107.97,93.0,1476.0
Super Mutant Alien Assault,80,7.19,35.99,95.0,68.0
❂ Hexaluga ❂ Weapon and Shield ☯,80,7.19,35.99,46.0,13.0
Sid Meier's Covert Action (Classic),70,7.64,25.49,91.0,85.0
The Bedtime Bundle,92,8.93,111.97,84.0,1032.0
Super Jigsaw Puzzle: Generations - United Kingdom,20,14.39,17.99,,
Culpa Innata,80,8.99,44.99,76.0,77.0
Puzzle - LINES AND KNOTS,55,8.09,17.99,88.0,189.0
The Legacy: Prisoner,65,8.92,25.49,87.0,31.0
Battle Riders,80,3.59,17.99,78.0,70.0
Sakura MMO 3,75,8.99,35.99,96.0,86.0
Survivalist,80,3.59,17.99,80.0,1955.0
Zen Chess: Mate in Two,40,2.15,3.59,85.0,34.0
Mars Power Industries Deluxe,55,6.52,14.49,94.0,233.0
Sakura Gamer,75,8.99,35.99,89.0,236.0
Zombie Simulator,10,3.23,3.59,64.0,17.0
The Sun and Moon,75,6.37,25.49,83.0,67.0
Hyper Knights,66,6.11,17.99,88.0,545.0
pear potion🍐,15,6.11,7.19,100.0,12.0
MiniGolf,20,6.4,8.0,42.0,14.0
RIDE: Yamaha 2015 Bike Models,75,3.62,14.49,73.0,15.0
Yet Another Zombie Defense HD,82,1.79,9.99,82.0,1272.0
A Healer Only Lives Twice,70,5.39,17.99,81.0,133.0
Crime Cities,60,5.79,14.49,81.0,11.0
Dragonsphere,75,6.37,25.49,82.0,17.0
Bus Driver Simulator - Modern City Bus,75,3.24,12.99,91.0,12.0
A Long Road Home,50,3.59,7.19,94.0,17.0
Pony's Games Box,41,6.41,10.78,95.0,1062.0
AGON - The Lost Sword of Toledo,90,3.59,35.99,,
The Mims Beginning,77,6.89,29.99,66.0,132.0
Combat Wings: Battle of Britain,70,5.39,17.99,80.0,407.0
ATV Drift & Tricks,90,5.39,53.99,68.0,32.0
Meridian: New World,80,5.09,25.49,50.0,299.0
Mystic Saga,90,1.79,17.99,48.0,79.0
Tropical Air Hockey Tylko VR,60,5.79,14.49,77.0,22.0
Katy and Bob: Cake Café,90,5.39,53.99,84.0,25.0
Booobjz,20,2.87,3.59,100.0,14.0
NVL,75,1.79,7.19,64.0,159.0
Fallen Cube,50,1.79,3.59,,
The Walking Zombie: Dead City,50,5.49,10.99,74.0,291.0
OSK - The End of Time,90,1.79,17.99,63.0,46.0
Survive or Thrive,20,5.75,7.19,98.0,134.0
Blueprint Tycoon,75,2.74,10.99,81.0,939.0
Oh My Gore!,75,1.79,7.19,86.0,259.0
BloodNet,75,6.37,25.49,54.0,22.0
Wall Force,25,5.39,7.19,,
Root Letter - Artbook,67,5.93,17.99,,
My Cute Dictators,63,5.38,14.38,88.0,391.0
Caligo,80,4.39,21.99,75.0,784.0
Tentacle Girl,40,4.31,7.19,90.0,741.0
Breaking Good,35,4.67,7.19,86.0,29.0
Shadowgrounds,80,5.09,25.49,80.0,1034.0
One Way Heroics,70,3.82,12.74,94.0,3204.0
BitMaster,83,1.86,10.99,66.0,65.0
Switch 'N' Shoot,75,3.62,14.49,96.0,66.0
Hyposphere,83,1.86,10.99,25.0,36.0
Legendary,80,3.59,17.99,54.0,1789.0
Incandescent,50,1.79,3.59,77.0,68.0
Legend of Himari,50,1.79,3.59,89.0,145.0
Murasaki,80,3.59,17.99,93.0,79.0
Cooking Trip: Back on the road,90,3.59,35.99,,
Retro,90,1.79,17.99,,
Reversion - The Meeting (2nd Chapter),75,4.49,17.99,76.0,68.0
Pyrite Heart,75,4.49,17.99,66.0,234.0
MEMENTO,80,4.39,21.99,68.0,35.0
Dear RED - Extended,80,2.19,10.99,58.0,75.0
City of Brass - OST,80,3.59,17.99,,
Hero of the Kingdom Collection,22,82.31,104.96,92.0,5622.0
AGON - The Mysterious Codex (Trilogy),90,3.59,35.99,66.0,18.0
Sonya: The Great Adventure,78,4.18,19.0,73.0,95.0
Caravan,90,3.59,35.99,78.0,459.0
Awareness Rooms,80,3.59,17.99,80.0,308.0
Trump vs Biden: Infinity war,50,1.79,3.59,91.0,159.0
Press X to Not Die,70,3.29,10.99,91.0,2653.0
Liberty Prime,90,3.59,35.99,37.0,83.0
Sakuya Izayoi Gives You Advice And Dabs,10,3.23,3.59,98.0,838.0
Pure Farming 2018 - Lindner Geotrac 134ep,50,3.59,7.19,,
Pure Farming 2018 - Landini REX-F,50,3.59,7.19,,
AlienSurvival,85,3.29,21.99,,
I am Weapon: Revival,80,11.59,57.99,,
Star Sky 2,80,2.89,14.49,86.0,38.0
LEGIE,50,3.59,7.19,86.0,30.0
Final Directive,51,3.52,7.19,86.0,83.0
Destroy The Cubes - Minimalist Puzzle,30,2.51,3.59,100.0,11.0
Y.E.T.I,10,3.23,3.59,,
Paul's World,60,2.87,7.19,86.0,15.0
Hyper Knights Collection,78,7.76,35.98,85.0,607.0
Hyper Knights: Battles,80,3.59,17.99,58.0,62.0
ANARCHY,45,1.97,3.59,,
Arktrum,90,2.89,28.99,,
Oozi: Earth Adventure,85,1.87,12.49,88.0,611.0
Enemy Front Multiplayer Map Pack,80,3.59,17.99,66.0,24.0
Rambunny,40,2.15,3.59,,
Lighthouse Keeper,30,2.51,3.59,83.0,31.0
Highway of death,75,1.79,7.19,72.0,18.0
Deadly Traps,40,2.15,3.59,,
Visiting a celebrity,30,2.51,3.59,93.0,15.0
JDM Tuner Racing,74,2.85,10.99,53.0,93.0
Pixel Traffic: Circle Rush,75,1.79,7.19,81.0,65.0
WARPZONE DRIFTER,50,1.79,3.59,83.0,67.0
LesLove.Club: Emily and Sarah,40,2.15,3.59,79.0,29.0
Task is to Survive,87,1.88,14.49,41.0,36.0
The soldier in the mine,83,1.86,10.99,54.0,51.0
LineWay,30,2.51,3.59,92.0,285.0
Royal Casino: Video Poker,83,1.86,10.99,85.0,78.0
Bus Driver Simulator - Tourist,75,1.99,7.99,91.0,12.0
Cube Worlds Survival,40,2.15,3.59,50.0,14.0
Romguns,75,1.79,7.19,,
Crab Dub,83,1.86,10.99,84.0,33.0
Space War: Infinity,50,1.79,3.59,92.0,54.0
Football Russian 20!8,75,1.79,7.19,81.0,43.0
Ashes of the Night,75,1.79,7.19,89.0,28.0
Daedalic Artist Selection Bundle,72,134.32,471.92,84.0,7794.0
ConflictCraft,50,1.79,3.59,83.0,184.0
Bus Driver Simulator - European Minibus,77,1.83,7.99,100.0,14.0
Hollywood Hero,83,1.86,10.99,,
Dark Fantasy Warriors,75,1.79,7.19,75.0,20.0
Hentai Bad Girls - Soundtrack,75,1.79,7.19,,
Stay or Leave / 留离,50,1.79,3.59,80.0,21.0
Insecticide Part 1,83,1.86,10.99,75.0,332.0
Wizodd,90,1.79,17.99,91.0,12.0
My Strange Girlfriends Soundtrack,75,1.79,7.19,,
Citalis,75,1.79,7.19,54.0,79.0
Ice Cream Fantasy,50,1.79,3.59,,
ZeroZone2020,50,1.79,3.59,79.0,34.0
UBERMOSH Vol.7,90,1.79,17.99,88.0,123.0
冒险村传说（Tales of Legends）,75,1.79,7.19,46.0,26.0
Zball IV,75,1.79,7.19,,
Reading Simulator,50,1.79,3.59,64.0,45.0
I saw IT,50,1.79,3.59,24.0,29.0
Guns n Zombies,80,5.79,28.99,68.0,774.0
IN-VERT: Soundtrack,50,3.59,7.19,,
Hungry Boy,75,1.79,7.19,,
Diib's Dilemma,75,1.79,7.19,82.0,23.0
Twisty's Asylum Escapades,90,1.79,17.99,50.0,36.0
SkyTime,50,1.79,3.59,53.0,65.0
Dinosaur Forest,75,1.79,7.19,56.0,516.0
Write word,50,1.79,3.59,80.0,10.0
God Hates Us,75,1.79,7.19,,
Suits: A Business RPG,50,1.79,3.59,89.0,684.0
Make it indie!,50,1.79,3.59,51.0,369.0
Cultures - 8th Wonder of the World,90,1.79,17.99,80.0,271.0
CCCP CALLS!,50,1.79,3.59,54.0,131.0
Egypt Picross Pharaohs Riddles,90,1.79,17.99,,
Portal of Evil: Stolen Runes Soundtrack,90,1.79,17.99,,
The young mathematician: Easy difficulty,75,1.79,7.19,81.0,22.0
Thanksgiving Day Mosaic,90,1.79,17.99,91.0,12.0
Chronicles of the Witches and Warlocks,90,1.79,17.99,63.0,66.0
Sit on bottle,90,1.79,17.99,60.0,20.0
Fairytale Solitaire. Witch Charms,90,1.79,17.99,,
Farnham Fables,50,1.79,3.59,72.0,149.0
Link the Animals,33,2.4,3.59,,
Pure Farming 2018 - Special Outfit Pack,50,1.79,3.59,,
Monster Slayers - Advanced Classes Unlocker,75,1.79,7.19,,
Defend Your Life: TD,50,6.49,12.99,82.0,533.0
东方华彩乱战2 - 游戏本体+OST原声音乐集打包,20,26.3,33.0,95.0,783.0
Khud0-Bedn0,56,19.04,43.36,96.0,62.0
